time,hour,temp_c,humidity,wind_kph,cloud,pressure_mb,uv,precip_mm,dewpoint_c,condition
2025-01-01 00:00,0,22.9,94,7.2,85,1010.0,0.0,2.76,22.0,Moderate or heavy rain shower
2025-01-01 01:00,1,22.5,96,6.5,92,1009.0,0.0,2.24,21.8,Moderate or heavy rain shower
2025-01-01 02:00,2,22.5,95,5.8,78,1008.0,0.0,0.7,21.8,Moderate rain at times
2025-01-01 03:00,3,22.6,95,5.8,68,1008.0,0.0,1.0,21.8,Heavy rain at times
2025-01-01 04:00,4,22.7,94,4.3,76,1007.0,0.0,2.2,21.7,Moderate or heavy rain shower
2025-01-01 05:00,5,22.8,92,3.6,72,1008.0,0.0,2.7,21.6,Moderate or heavy rain shower
2025-01-01 06:00,6,22.9,91,4.7,75,1008.0,8.0,3.5,21.4,Moderate or heavy rain shower
2025-01-01 07:00,7,23.1,90,5.8,89,1009.0,8.0,2.0,21.5,Moderate or heavy rain shower
2025-01-01 08:00,8,24.5,85,6.5,70,1009.0,8.0,0.0,21.8,Cloudy
2025-01-01 09:00,9,26.3,79,7.2,22,1010.0,10.0,0.0,22.3,Sunny
2025-01-01 10:00,10,28.1,72,6.5,41,1010.0,10.0,0.0,22.5,Partly cloudy
2025-01-01 11:00,11,29.5,65,5.8,77,1009.0,9.0,0.0,22.3,Cloudy
2025-01-01 12:00,12,30.1,63,7.2,84,1008.0,10.0,0.0,22.3,Cloudy
2025-01-01 13:00,13,29.4,66,7.6,80,1008.0,9.0,0.0,22.5,Cloudy
2025-01-01 14:00,14,29.3,69,7.2,82,1007.0,9.0,0.1,23.1,Patchy rain possible
2025-01-01 15:00,15,29.1,71,5.4,92,1006.0,9.0,0.0,23.4,Overcast
2025-01-01 16:00,16,28.3,75,4.3,84,1006.0,9.0,0.1,23.5,Patchy rain possible
2025-01-01 17:00,17,27.2,81,3.6,78,1006.0,9.0,1.22,23.6,Heavy rain at times
2025-01-01 18:00,18,25.6,87,2.5,78,1007.0,0.0,1.28,23.2,Heavy rain at times
2025-01-01 19:00,19,24.6,90,4.3,75,1007.0,0.0,1.44,22.8,Heavy rain at times
2025-01-01 20:00,20,24.2,91,3.2,81,1009.0,0.0,1.91,22.7,Moderate or heavy rain shower
2025-01-01 21:00,21,24.0,92,3.6,100,1009.0,0.0,2.93,22.7,Moderate or heavy rain shower
2025-01-01 22:00,22,23.5,95,3.6,99,1010.0,0.0,4.58,22.7,Moderate or heavy rain shower
2025-01-01 23:00,23,23.1,97,3.6,100,1010.0,0.0,4.84,22.7,Moderate or heavy rain shower
2025-01-02 00:00,0,23.1,92,7.2,57,1010.0,0.0,0.0,21.7,Partly cloudy
